"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J9";"PinHeader_1x02_P2.54mm_Vertical";1;"Power";;;
2;"J3";"Jack_3.5mm_PJ-307A_Horizontal";1;"AudioJackX_Ground_Switch";;;
3;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"33kΩ";;;
4;"J8";"SmallRoundTouchPad";1;"MODE";;;
5;"J6";"SmallRoundTouchPad";1;"WRITE PATCH";;;
6;"KB1";"StylusKeyboard_noVias";1;"StylusKeyboardA";;;
7;"C1";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"220nF";;;
8;"J5";"SmallRoundTouchPad";1;"PATCH SELECT";;;
9;"J4";"PinHeader_1x03_P2.54mm_Horizontal";1;"LED Ring";;;
10;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"3.3kΩ";;;
11;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"200k";;;
12;"D2,D1";"D_DO-35_SOD27_P7.62mm_Horizontal+SMD";2;"1N4148";;;
13;"RGB1";"LED RING 16 WS2812B 48mm";1;"LED_Ring_16_WS2812B";;;
14;"J7";"SmallRoundTouchPad";1;"PARAM SELECT";;;
15;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"330Ω";;;
16;"J1";"SmallRoundTouchPad";1;"STYLUS";;;
17;"C2";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"4.7nF";;;
18;"U1";"stm32f103c8t6-module-china-smd";1;"stm32f103c8t6-module-china";;;
19;"AMP1";"GF1002-PAM8403_Amplifier_Module_w_bottom_pins";1;"~";;;
20;"J2";"SW_Slide_SPDT_Angled_CK_OS102011MA1Q";1;"Power Switch";;;
21;"LS1";"Speaker 40mm";1;"Speaker";;;
